connecting_id,postId,replyMess,postcount,author,member group,dateTime,threadDetails,pos,neg,neu,compound,textblob_sentiment
780121,780670,"Were you diagnosed as HIV positive while pregnant? Did you start treatment while pregnant? If yes, what drugs did you use? I am now at 22 weeks and my last rna value is 60. I am still not negative and scaredQuote from: delilah07 on August 17, 2022, 10:39:28 pmI had my daughter while positive. I was on a study so I dont know if I received the medication or a placebo. She is 24 years old now and HIV negative. I was on a birth plan to have a C-section, but no one could get a hold of my doctor. So I had my daughter by natural birth. Id listen to your doctors. But also many women have given birth while positive and had healthy babies.",Posts: 4,paradise123,member," September 10, 2022, 01:18:55 pm »",« Reply #4 ,0.186,0.021,0.793,0.9617,0.19987373737373737
778984,778984,"I will be 45 in May. And a younger man flirted with me. It feels really good. I feel l8ke taking care of myself to match my mood. I dont want to do anything, I just like this feeling. ",Posts: 112,delilah07,member," April 22, 2022, 06:39:43 pm »",«  ,0.288,0.029,0.683,0.8631,0.35
732856,732856,"Hi Ladies,I have been positive since I was 18. Now I am 47. Yep, i am an oldtimer...I have lived fairly healthy with HIV for more than I lived without it.Now I find as an older woman I am facing new challenges with menopause.Its not enough that I have fat distribution issues, aka Lipodystrophy and Lipoatrophy.I think that women in general are wholly underrepresented in HIV studies and information. SO, I am looking to my female peers to see what, if anything has helped you with aging, menopause and life in general.Thanks, and Be WellSologirl",Posts: 2,sologirl,member," September 14, 2017, 05:55:35 pm »",«  ,0.106,0.0,0.894,0.8316,0.1975378787878788
732856,732862,"Well I am behind you 2 years and just got my period today ....so no menopause yet - although i wish! I have only been poz 2 years. I would love to hear more of your story though...life and dating is not easy. I live in a very close minded small community and literally only a handful of people know...mostly family.  Right now, the best I can do is eat healthy and exercise. Wine is my go-to though...which i should prob cut back on.  Nice to meet you Sologirl.",Posts: 351,PittGurl,member," September 14, 2017, 10:00:37 pm »",« Reply #1 ,0.203,0.072,0.726,0.9229,0.19681508967223252
732856,732905,"I contracted HIV around 1993. The only complications have been early arthritis and night sweats. I'm just guessing that those things are related to the virus. My hormone levels are in check. It seemed like I started getting arthritis earlier than most people. No one else in my family got arthritis at 30. As a teenager, I did aerobics, dance, and swim, but nothing crazy that would have caused arthritis at such a young age. Therefore, I have to assume it's because of HIV. I shouldn't complain. I can still work and have never gotten sick.",Posts: 22,InRecovery,member," September 16, 2017, 09:53:22 pm »",« Reply #2 ,0.11,0.018,0.871,0.8309,-0.06825396825396826
732856,778035,"Im 60 was infected at 26.  Im officially past menopause and have osteoporosis, chronic pain, arthritis, neuropathy is getting worse . I was told most of it from being positive so long but who knows. Cbd gummies is what I use for insomnia (since menopause) and anxiety . ",Posts: 46,poodlelover,member," January 23, 2022, 10:30:17 pm »",« Reply #3 ,0.046,0.168,0.785,-0.6187,0.005454545454545448
732856,778146, Ive been positive since 95. Im going to be 45 in a couple months. I still get my period regularly. I dislike having my period due to how heavy and long it goes on for.  I do and do not want my period. I want it because I hear complaints about menopause. I dont want it because its just a pain. ,Posts: 112,delilah07,member," February 06, 2022, 04:01:26 pm »",« Reply #4 ,0.058,0.198,0.744,-0.6874,-0.029545454545454552
778144,778144," My stomach was cramping and I had bloody stool. At first I was worried, then I thought it was red stool from the spaghetti I ate the night before. I guess I was not ready to admit something was not right.  I finally went to the emergency room. The nurse asked if I had hemorrhoids. I told her that I did not know. I dont normally have restroom issues. After checking in, my vitals where taken, blood drawn, and gave a urine sample. I waited for about three hours in the waiting room. During that time the doctor came out to tell me how my blood work came back and they need to start an Iv and do a cat scan.  After I had that done, along with some painful needle pokes, another doctor came in and said my colon was infected and inflamed, in other words I have colitis. Fortunately there are no ulcers.  What all this means is I am on a bland diet for now. Then I need to Live a healthy lifestyle after that bland diet.  So today I start with going for a walk. ",Posts: 112,delilah07,member," February 06, 2022, 03:54:04 pm »",«  ,0.026,0.121,0.853,-0.936,-0.050988455988456
777668,777668,"I cant seem to find that one thing I feel I should be doing. My husband is working, but I really dont want to work a boring job. Nor do I want a job with too much responsibility. By too much responsibility is being something like a a nurse or pilot. Im just not motivated lately. I applied at a few places. Im hoping to hear back by the third of January. Any advice would be welcome. ",Posts: 112,delilah07,member," December 30, 2021, 06:22:46 pm »",«  ,0.184,0.077,0.739,0.8184,-0.01111111111111112
777393,777393,"Im married for more than a decade. I feel like sex in my 40s. My husband is in his late 50s. When we first met he had to be more aggressive, I guess. He had my attention, then Id get angry at him. Wed argue. Now things are fine. We just dont have sex like before. It went from constant to not at all. I dont want just sex, but some sounds nice.  I doubt Ill find anyone else with this issue on here. I just dont tell anyone any of this. I need to figure things out. ",Posts: 112,delilah07,member," December 04, 2021, 10:28:49 pm »",«  ,0.097,0.085,0.818,0.0525,0.19074074074074077
777230,777230,"I have a friend. Who lives in another state. Ive known her for twenty-seven years. She just reminds me of my mistakes. She even mentions how she does it all without a man. But I know her parents pay for what she needs. She is also HIV negative. My situation is I am HIV positive. I married an HIV positive man. We both work. I have an HIV negative daughter who is twenty-three. I guess this friend has said hurtful things to me. Other times shes encouraging me. One time she reminded me off doing something dumb in high school. I couldnt say anything because I did not want to lie. Yet she calls me while she is out with her friends. Ill talk for a bit, but soon I got to get off the phone. My husband wants to spend time with me. Other times my daughter wants to talk to me. Some times I like to listen to music or read. I guess I feel lonely. Which is strange because I have my family. ",Posts: 112,delilah07,member," November 21, 2021, 06:26:02 pm »",«  ,0.14,0.145,0.715,0.2304,-0.008496503496503492
687313,687313,Hello everyone!Are there any young women on here under 30? I feel like I'm the only youngster on this site.,Posts: 44,newbie92,member," September 13, 2015, 01:03:19 am »",«  ,0.134,0.0,0.866,0.4199,0.05
687313,688974,I'm just over 30! Not too much older than you  ,Posts: 49,Rosie117,member," October 08, 2015, 07:34:03 am »",« Reply #1 ,0.0,0.0,1.0,0.0,0.16666666666666666
687313,689592,Your not alone sweetie I just turned 30.I can say I love this site. Anytime I have stuff on my mind or questions I come on here and read everyone no matter the age is very nice and helpful. I've been POS for 7 yrs now and on here for about 3yrs,Posts: 17,mskandy01,member," October 17, 2015, 10:40:58 pm »",« Reply #2 ,0.227,0.083,0.689,0.811,0.64
687313,689684,Hey there ladies!! I've only been positive for a year and 7 months. I just feel like nobody on this site is 23 lol. ,Posts: 44,newbie92,member," October 18, 2015, 07:34:41 pm »",« Reply #3 ,0.345,0.0,0.655,0.8585,0.34242424242424246
687313,689837,I'm over 30 but young at heart!  ,Posts: 565,vivyt,member," October 21, 2015, 08:48:22 am »",« Reply #4 ,0.0,0.0,1.0,0.0,0.125
687313,689892,I just want to meet someone that I can talk you and that lives near me.,Posts: 44,newbie92,member," October 22, 2015, 07:08:40 am »",« Reply #5 ,0.091,0.0,0.909,0.0772,0.1
687313,690705,"Hi Newbie92, I guess I'm a newbie too, I'm under 30, i'm 24! and I feel the same way! I just joined this site and your thread caught my attention. I was born positive, that's another thing I don't see much, everyone else seems to be newly diagnosed. where do you live?",Posts: 1,landofnature,member," November 02, 2015, 12:06:08 am »",« Reply #6 ,0.085,0.0,0.915,0.6351,0.13999999999999999
687313,774811,Hey newbie 🙂 I am 28! I definitely understand the feeling of being really young and having to live with this. Here to talk 🥰,Posts: 1,Cutiepie93,member," June 27, 2021, 09:46:35 pm »",« Reply #7 ,0.191,0.0,0.809,0.5411,0.07878787878787878
687313,774820,"@Cutiepie93. Hiya and welcome to the forum.As a new member, can you please open an introduction thread in the ""Living with HIV"" or in the ""I Just tested positive"" section and introduce yourself to the forum members. Thanks. Let us know how are you doing, how the treatment is going etc. It's standard for new members. ","Posts: 21,412",Jim Allen,Administrator," June 28, 2021, 12:58:00 pm »",« Reply #8 ,0.188,0.0,0.812,0.8957,0.21428571428571427
774278,774278,"Im sitting home. I spent the last weekend, Monday, and today getting over a cold. As always I am grateful to be well again. Hope everyone is having a good day. ",Posts: 112,delilah07,member," May 18, 2021, 09:43:18 pm »",«  ,0.322,0.0,0.678,0.872,0.0
774278,774308,"Im ok, but felt like I was fighting a cold yesterday and not super energetic today. Time to make things happen around the house, then a baseball game later.",Posts: 36,Grendal,Standard," May 19, 2021, 04:42:19 pm »",« Reply #1 ,0.133,0.29,0.576,-0.7736,-0.027777777777777773
774278,774424,"Quote from: Grendal on May 19, 2021, 04:42:19 pmIm ok, but felt like I was fighting a cold yesterday and not super energetic today. Time to make things happen around the house, then a baseball game later.Do you play baseball? I had my cold for about five days. It was different. ",Posts: 112,delilah07,member," May 26, 2021, 07:11:06 pm »",« Reply #2 ,0.134,0.178,0.689,-0.5615,-0.10952380952380951
773135,773135,"I found out I was positive in 1992, and the doctor I had at that time was wonderful. I was an elite controller so we decided not to start medication until my numbers started dropping in 2010-2011. Now, due to some other health issues, medication was stopped in early 2018. My doctor moved to another state around that time and I was switched over to another doctor. I've seen this new doctor a few times and I honestly don't like them. They are very dismissive and critical. Because of this, I haven't been to see them since April of 2020 because of exposure to COVID. The reaction I got at that time was basically if I wasn't dropping dead because I couldn't breathe, it was nothing to worry about. Anyway, I've been dealing with very painful lymph nodes for about 4 weeks, been having soaking night sweats and other issues; however, I don't want to go to this doctor.  Does anyone have any suggestions? I live in Chicago. ",Posts: 25,blackbeauty40,member," March 02, 2021, 10:23:51 am »",«  ,0.094,0.064,0.841,0.7997,0.05107142857142859
773135,774307,"Hi, you really need to find a new doctor. You will likely need to breakdown what your needs are into a very short series of questions for the doctor, and dont expect the doc to handle more than 3 issues in one visit. Have you been back on medication? My docs have trained me to be skeptical, you will often need to learn a lot just to train them. Seriously, I kind of view docs as simply drug dispensers anymore these days, good thing Im relatively healthy. Wish I knew where you could find a good doc.Grendal",Posts: 36,Grendal,Standard," May 19, 2021, 04:39:36 pm »",« Reply #1 ,0.113,0.04,0.847,0.802,0.23636363636363633
772925,772925,HELLO COMMUNITY! Redacted by admin,Posts: 2,VICE_Producer,Standard," February 15, 2021, 12:37:03 pm »",«  ,0.0,0.0,1.0,0.0,0.0
772925,772928,"Hiya,Welcome to the forum.It sounds like an interesting request. However, without prior permission, members are strictly prohibited from participating in editorial content, study or survey participation (including interviews).Please feel free to reach out to POZ, to request permission. https://www.poz.com/iframe/contact-usThank you.Jim","Posts: 21,412",Jim Allen,Administrator," February 15, 2021, 12:55:23 pm »",« Reply #1 ,0.211,0.0,0.789,0.8225,0.3
772925,773037,"Hi Jim, Thanks for your email. It was actually Seun Strub, Poz Founder, who suggested I do this. Lucy ",Posts: 2,VICE_Producer,Standard," February 23, 2021, 07:51:30 am »",« Reply #2 ,0.146,0.0,0.854,0.4404,0.1
772925,773038,You're welcome.,"Posts: 21,412",Jim Allen,Administrator," February 23, 2021, 08:10:41 am »",« Reply #3 ,0.75,0.0,0.25,0.4588,0.8
772205,772205,"Hi all ,I'm a 26 year old lady in Sri lanka. Recently me and my husband and my little son 2 years old. diagnosed with HIV I'm really scared. I don't know where to turn my life is devastated.Please anyone here who went through my situation any advise please.knowing my family status we are going down hill.I'm realy scared about my little baby will he able to live please answer someone.I havent sleep for two days now crying and crying all day thinking about my son.Please anyone here to help me?",Posts: 2,sasmhan,member," December 24, 2020, 01:01:37 am »",«  ,0.05,0.126,0.823,-0.8218,0.009618916437098253
772205,772216,"Hi, sorry to hear about your diagnosis. Have all 3 of you been tested? I had children before I contracted HIV but there are many people who were born with it and years on are living healthy happy lives.I understand that you must be worried, particularly about your son and it can be a lot to get your head round. How is he currently and also yourself and your husband?  Medication is very effective in suppressing the virus and allowing the immune system to recover. Have you been seen at a clinic or hospital and had blood tests done? Once you have results for viral load and CD4 these will form a baseline from which to start treatment. ",Posts: 9,Bobsy,member," December 24, 2020, 07:39:08 pm »",« Reply #1 ,0.131,0.031,0.838,0.9391,0.25583333333333336
772205,772632,HelloI was born with hiv and have been living just fine. I am now 35 about to be 36 next month. I was also able to have two beautiful children who are Not hiv positive. I hope this can shine some light on your fears and see that he will have a wonderful life. ❤️,Posts: 7,c430,member," January 22, 2021, 08:56:18 am »",« Reply #2 ,0.15,0.13,0.72,0.3116,0.48484848484848486
772205,772684,Hi allLast Oct 14. 2020 I had a needlestick injury while I was trying to clean the place.(I don' t know who has used that needle) I work in a community club where we provide HIV rapid test for free. But I refused to take PEP(I know it is silly)one month later I had a sore throat and mild fever for 2 days. Again after a week had sore throat and white stuff in my mouth it can wipe out with brushing(still have it). I tested for HIV and other STIs all came back negative. At 94 days(12week) after the needlstick injury I tested again using Ag/Ab test done by lab not rapid. All came back negative. Should I repeat my testing at 16 week or 24 week or can I conlude  my testing? I'm really worried Please answer can I move on with my life. ,Posts: 2,sasmhan,member," January 23, 2021, 10:08:29 pm »",« Reply #3 ,0.048,0.183,0.77,-0.9715,0.052272727272727276
772205,772685,"sasmhanI've merged your post into one thread and, you're banned, permanently. Fakers always get caught out sooner or later, already had you on my watch and checklist but you made it easy for me, I did not even have to start questioning your posts or sending you PM's.You don't have HIV and shouldn't be lying to our members or posting here. I don't believe a word you are saying about the recent needlestick injury either and if you did have one work it out at your clinic.Now, I don't harbour ill towards you and, I hope you can find whatever professional psychological support is needed to help you through this.Best, JimQuote from: sasmhan on December 24, 2020, 01:01:37 amHi all ,I'm a 26 year old lady in Sri lanka. Recently me and my husband and my little son 2 years old. diagnosed with HIV I'm really scared. I don't know where to turn my life is devastated.Please anyone here who went through my situation any advise please.knowing my family status we are going down hill.I'm realy scared about my little baby will he able to live please answer someone.I havent sleep for two days now crying and crying all day thinking about my son.Please anyone here to help me?Quote from: sasmhan on January 23, 2021, 10:08:29 pmHi allLast Oct 14. 2020 I had a needlestick injury while I was trying to clean the place.(I don' t know who has used that needle) I work in a community club where we provide HIV rapid test for free. But I refused to take PEP(I know it is silly)one month later I had a sore throat and mild fever for 2 days. Again after a week had sore throat and white stuff in my mouth it can wipe out with brushing(still have it). I tested for HIV and other STIs all came back negative. At 94 days(12week) after the needlstick injury I tested again using Ag/Ab test done by lab not rapid. All came back negative. Should I repeat my testing at 16 week or 24 week or can I conlude  my testing? I'm really worried Please answer can I move on with my life. ","Posts: 21,412",Jim Allen,Administrator," January 24, 2021, 12:16:37 am »",« Reply #4 ,0.097,0.134,0.769,-0.9455,0.0255050505050505
772205,772692,"Cheers Jim, I had wondered after they didnt reply. ",Posts: 9,Bobsy,member," January 24, 2021, 01:35:18 pm »",« Reply #5 ,0.307,0.0,0.693,0.4767,0.0
772205,772698,"You're welcome and, I apologize to you and, the members on the thread this happened.I normally proactively engage with new posters to be supportive and also to weed out the fakers.Best, Jim ","Posts: 21,412",Jim Allen,Administrator," January 25, 2021, 12:18:04 pm »",« Reply #6 ,0.25,0.0,0.75,0.7906,0.3965909090909091
737558,737558,Greetings allI have been positive for 9 years now and I and about to have my first child. I really want to breastfeed my baby but there seems not to be enough information on this. I have been undetectable since diagnosis and am still taking meds. Is here anyone with experience of this and advise please help as I know breast is best and doctors are very negative on this topic. I would appreciate your experiences and advise please,Posts: 2,Nubeing,member," December 15, 2017, 01:25:35 am »",«  ,0.259,0.059,0.682,0.9502,0.2145454545454545
737558,737563,Hi I know there are not many female posters here so I thought I would break the silence in your thread to at least post to say welcome to the forum and congratulations on the pregnancy. Recently there was a similar thread and prehaps this will yield some insights for you as well. https://forums.poz.com/index.php?topic=66366.msg726788 Wishing you all the best Jim  ,"Posts: 21,412",Jim Allen,Administrator," December 15, 2017, 03:35:27 am »",« Reply #1 ,0.228,0.0,0.772,0.9337,0.17857142857142858
737558,737572,"Thankyou JimMuch appreciated I have never used a forum before so getting to understand the gist of how it works! Thankyou for your info, I hope to find some women who have had the experience before so they can advise what they did I'm just in limbo at the moment.Thankyou for your reply and information ",Posts: 2,Nubeing,member," December 15, 2017, 09:41:40 am »",« Reply #2 ,0.115,0.0,0.885,0.7574,0.25
737558,737575,You're welcome and I hope some of the girls will reply to help you out of the limbo. Jim ,"Posts: 21,412",Jim Allen,Administrator," December 15, 2017, 10:12:56 am »",« Reply #3 ,0.364,0.0,0.636,0.8225,0.8
737558,772633,"Hello,I have two beautiful children, both born hiv Negative. I was told both times not to breast feed them because  there is always a possibility that the blood may come out with the milk and that youre all the juices may contain the virus. I didnt want to take the chance of infecting my babies so I formula feed. My son is now 11 and my daughter is 9. Both Heathy and doing very well. Hope this helps ",Posts: 7,c430,member," January 22, 2021, 09:05:21 am »",« Reply #4 ,0.179,0.043,0.778,0.8648,0.25
772098,772098,"I am new to this forum, but decided to join in an effort to get some opinions/support. I was recently diagnosed back in September, after losing my virginity to a guy who did not know he was positive. I know right, who gets HIV after having sex for the first time? That about sums up my luck. Anyway, I started Biktarvy in early November, and havent experienced any side affects until now. Suddenly, my hair is falling out like crazy. especially when i shower. I am not sure if it is due to the stress of being diagnosed with HIV so recently, or if it is the medication itself but I am very concerned and dont know what to do. Has anyone else experienced this? I am a 22 year old female, for reference. ",Posts: 2,maddie2020,member," December 15, 2020, 08:09:41 pm »",«  ,0.106,0.1,0.794,0.4151,0.1069083694083694
771846,771846,I went for a job. I signed the offer and waited for the background check to come back. I text today and the manager text he would text me back today. That he was finding out if I am hired today. It took from November 17th until today. Well I didn't recieve a text. Should I begin looking for another job?,Posts: 112,delilah07,member," November 30, 2020, 09:56:19 pm »",«  ,0.039,0.0,0.961,0.2732,0.0
771664,771664,"I was posting in the off topuc forum. Trying to be normal. I guess I'm a bit strange. I don't have much in common with other people. So I stress over what to say. In my mind I feel safe at home. Yes. I shop at the grocery store. I do go out of the house. But I have neighbors that have been rude since I moved in. Once I took the trash out. The new nieghbor opened the lid for me to put my trash in the dumpster. This one woman rushes over saying, ""oh no... I got to talk to you"". I just walked away thinking that I should ignore her. She talks to other people but avoids me. I did nothing. The only thing I can think of is when I asked a teen girl to quit walking by my dining room window staring in. She had walked by about ten times. Her mom has tried to talk to my husband on different occassions since. My husband told me and even said he walked away. He said he tells me because he doesn't want her to tell me anything different. I don't get angry or jealous. I just think that they're all friends and stand up for one another even if wrong. If my husband tells me then he loves me. But I dislike dealing with people. At home I'm comfortable. Outside I'm nervous. ",Posts: 112,delilah07,member," November 18, 2020, 08:25:25 pm »",«  ,0.084,0.121,0.795,-0.7332,-0.041978609625668455
771381,771381,Last month I began school for pharmacy technician. I was stressed out with it being an accelerated course. So I quit. 20 + assignments a week are just too much for me. Plus I really needed to bring in an income to support my family. While I am working at a regular job I am actually happy. I kept picturing myself as a pharmacy technician and I was excitex at first but a week into the course I was bored. I was having a difficult time with the math. Then again filling bottles and getting attitide from customers seemed like I would be miserable in the job.My current job is in a main office for a company. I just do inventory type work and put stuff away. I just inteact with coworkers. No trying to please unhappy customers. I am pretty sure I found a good job. ,Posts: 112,delilah07,member," October 30, 2020, 07:43:16 pm »",«  ,0.143,0.123,0.734,0.4767,0.03111111111111112
739549,739549,"Hello everyone,I'm 38 and HIV+ since 2014 and undetectable past 3 years on Genyova. I just found out that I'm pregnant yesterday, still sort of in shock/surprised as it was unplanned. After long stressful discussions last 24 hours, the father concluded that he doesn't want the kid. At this point, I don't know how much he will be involved, so looks like I'm going all in alone. This will be my first child. Though unexpected, I feel so happy and so worried at the same time. After my diagnosis, I thought I would never have a baby. Now that all this happened because of a condom accident (and even taking the emergency contraceptive after) I feel it's meant to be. I have my appointment with my ID specialist in two days. I am sure she will reassure me too, but I'd like to know other ladies' experiences as well. Am I going to give birth to a healthy baby?",Posts: 50,Weber,member," January 27, 2018, 11:24:23 am »",«  ,0.111,0.064,0.824,0.8631,0.18819444444444444
739549,767262,"You are definitely going to give birth to a healthy baby! Forget your poz status, thats fine if managed. Your age may increase risks but not by much. You can do this!! X ",Posts: 314,TabooPrincess,member," March 13, 2020, 02:08:01 pm »",« Reply #1 ,0.214,0.084,0.702,0.5612,0.3385416666666667
739549,767269,"I was positive for almost two years when I became pregnant with my daughter. I was actually taking a cocktail as they called my pill combination at the time. Although I don't recall the other pill, I was taking one pill called Crixivan. I think that's the correct spelling of Crixivan. Well I went to many appointments, I was on a study, I took my pills, and had regular blood draws. Most important I took care of myself. I also gained like forty pounds. I remember I loved Taco Bell when I was pregnant.While anyways I had my daughter in 1998. I was diagnosed in 1995. In my opinion todays care for HIV+ people has improved since 1995 or 1998. Congrads on your pregnancy! ",Posts: 112,delilah07,member," March 13, 2020, 03:23:43 pm »",« Reply #2 ,0.218,0.0,0.782,0.9779,0.30117845117845116
739549,768026,"You will give birth to a healthly, negative baby! Dont even think about it  I found out about the virus during pregnancy  and started Treatment right away. My daughter is healthly and beautiful. Congrats on your pregnancy. It looks like its meant to be. ",Posts: 13,Nika,member," April 16, 2020, 10:26:48 am »",« Reply #3 ,0.195,0.071,0.734,0.75,0.25357142857142856
739549,770919,"Just checking in to see if you had the baby yet?I have had 4 kids, 2 pregnancies, 1 natural, 1 c-section and all my kids are negative.Take your meds, drink lots of water and get lots of rest, you both will be fine.  Hope all is well!Snow","Posts: 1,429",Snowangel,member," October 02, 2020, 10:44:46 pm »",« Reply #4 ,0.158,0.0,0.842,0.7574,0.25833333333333336
768303,768303,Will I ever meet another?Who knew that making a phone call could shatter my existencewho knew that taking these tiny little steps could create paralyzing doomLeading me to relive the most terrifying nightmare of my life I certainly didn't knowNot knowing if these tears would one day stop flowing I imagine myself walking up to the doorfear freezing my muscles a doorway where my fears linger in the shadows taking me to the small little room with people like me people who are scared people that are feared do they scream from inside their minds in the prison they createdI breathe in slowly and exhale releasing as much pain as possible I try to hit the breaks as my ego takes me to thedarkest corners of my mind But I wont go I will be brave my cups are no longer half empty I will do this I whisper to myselfeven if my hands are shaking I hold my head up let the sunshine fall upon my face and repeat silently to my darkened ego.My destiny is mine andI am doing this,Posts: 2,MarshmallowJess,member," April 30, 2020, 10:03:32 am »",«  ,0.071,0.134,0.794,-0.7293,-0.03409863945578232
768303,768423,Beautiful - straight from the heart ❤️. Onwards and upwards 👍🏻,Posts: 9,Bobsy,member," May 03, 2020, 02:33:19 pm »",« Reply #1 ,0.42,0.0,0.58,0.7003,0.525
768303,770917,This is beautiful! ,"Posts: 1,429",Snowangel,member," October 02, 2020, 10:41:08 pm »",« Reply #2 ,0.677,0.0,0.323,0.636,1.0
